shapelet,ig
"0.0016800574692621088, 0.0017695384742265619, 0.0018439853196680952",0.0005144883648807719
"0.0019097025585133355, 0.0019485302457561244, 0.0019786517873782196",0.00011276091834333535
"0.0019825100214890365, 0.001978827207216727, 0.0019557719501993613",0.00011084181126941317
"0.001927843230121544, 0.0018796611400211877, 0.0018293438893590532",0.0001053359537500631
"0.0017711721006362056, 0.0017095445491720936, 0.0016341976151812044",0.0003086471897527643
"0.00156653622359334, 0.001496224486483962, 0.0014229524265866045",0.0007203906896167123
"0.0013442596012292422, 0.0012678578765561652, 0.0011991293551333188",0.0005041896370190369
"0.0011253266257606077, 0.001054846514526081, 0.0009771160097377472",0.00020574952149243764
"0.0009118834693341103, 0.0008375160776267023, 0.000766692574584382",0.00011138863942650179
"0.0006956652378376669, 0.0006226132933509106, 0.0005510832783210847",0.00020574952149243764
"0.0004758456129416149, 0.0003983928611606862, 0.0003223746801054731",0.0005800179611137324
"0.0002507964297811926, 0.00017570766276357036, 0.00010255090350633168",0.00010286712647944452
"2.754703532151237e-05, -3.9851675243680884e-05, -0.00010192581168794179",0.00022073279420620207
"-0.00015348166979803346, -0.00020834513516979503, -0.00025404460236951205",0.00015047070818052788
"-0.0002912522884859093, -0.0003197986650554114, -0.0003380585062089936",0.0006174318811869028
"-0.0003528394974721197, -0.0003611892725457129, -0.0003556030850370097",0.00016336071631961602
"-0.0003424656630468502, -0.00032392059979872057, -0.00029676473640330783",0.00020574952149243764
"-0.0002689008444284116, -0.00023054751094141873, -0.00018526959407405607",0.00021847522076712256
"-0.00014489504656925098, -9.304185233825236e-05, -4.1818004842327384e-05",0.00020574952149243764
"2.782458243075648e-06, 5.5020857852514093e-05, 0.00011015724880126913",0.0001335045004053903
"0.0001598729197634964, 0.00020606389143157725, 0.00025337983390662277",0.00020574952149243764
"0.00030556223939405894, 0.00035071874113422677, 0.0004044114777022878",0.00014308039972787956
"0.0004519401846226345, 0.0004947477205875586, 0.0005448632260645972",0.00014308039972787956
"0.0005863413311199446, 0.0006333186806545335, 0.000684556119193761",0.00020574952149243764
"0.0007363298379191143, 0.0007801492803359887, 0.0008327937255192732",0.00020574952149243764
"0.0008804341110871918, 0.0009290387211851906, 0.0009821698524329428",0.0003110786333438975
"0.0010311986158403044, 0.0010812047770979837, 0.0011229923990907905",0.00010286712647944452
"0.0011743373374027664, 0.0012130116261539238, 0.001258194213224928",0.00020574952149243764
"0.0012946838143664766, 0.0013317235368781495, 0.0013580341623527208",0.0001554169040428599
"0.0013919550787407356, 0.0014110017590734537, 0.0014302039872066334",0.0001973860316951681
"0.001436573102657881, 0.0014526885500510626, 0.0014515232516669214",0.00010286712647944452
"0.001447494270577285, 0.0014363946154893927, 0.0014156252600854508",0.00010286712647944452
"0.0013929112447270218, 0.001364098125817689, 0.0013178529800943208",0.00027160156621319764
"0.0012693144541716475, 0.001204296806558633, 0.001139686442087561",0.0001973860316951681
"0.0010615622694645469, 0.0009712462937816937, 0.0008635715466981074",0.00014308039972787956
"0.0007484817650749778, 0.0006243096849421767, 0.00048528058926119305",0.00012222581661636145
"0.00032855889235966235, 0.0001679780584265822, -7.5738706200347006e-06",0.0001554169040428599
"-0.0001932443435451632, -0.00038293635534753304, -0.0005883963992592211",0.00027160156621319764
"-0.0007969296409220134, -0.001003657856408601, -0.0012139955418763717",0.0007242981599846487
"-0.0014289174479959962, -0.0016372544871205846, -0.00183128264798757",0.0002941932547393389
"-0.00202731204389501, -0.0022060957974645926, -0.002365886890449559",0.0003086471897527643
"-0.002507661283663737, -0.0026335492619301883, -0.002731422942682223",0.0010293589149090732
"-0.0028049621847024988, -0.002849435271660126, -0.0028666949776735805",0.00041156013597609675
"-0.0028476492475065698, -0.0028020619768807584, -0.002714635323042975",0.0003086471897527643
"-0.0026053845901026227, -0.002463259399969362, -0.0022919953685849232",0.00010286712647944452
"-0.0020830070392694805, -0.0018590430828438816, -0.001611780547029349",0.00020574952149243764
"-0.0013419517313143408, -0.0010501808876751915, -0.0007525575684387033",0.0003086471897527643
"-0.000447031520585818, -0.0001330783201155157, 0.00017548002401790094",0.00021847522076712256
"0.0004915102521552868, 0.0007836966715260019, 0.001071825981558118",0.00028465174420555517
"0.001339217923849341, 0.0015886345375739734, 0.0018121743690695524",0.00023205801419379224
"0.002009145632072676, 0.002182054439857927, 0.002320222027430173",0.0005144883648807719
"0.002429541417191825, 0.0025004783812812618, 0.002536822460930432",0.0001441687378386236
"0.0025432390130786364, 0.002515019182573958, 0.0024580398848789674",0.00013185734698351048
"0.0023636436821468376, 0.002244703936061694, 0.0020999479418368685",0.0003086471897527643
"0.0019308950152130237, 0.0017331917277161844, 0.0015256938334390919",0.0005283444470913778
"0.001304719297326581, 0.0010689949290631894, 0.0008232191881367879",0.0005144883648807719
"0.0005766698409955581, 0.00032993791389260285, 8.319673942082904e-05",0.00020574952149243764
"-0.000156897171881457, -0.00038982105370962035, -0.0006101447159031857",0.0003019280226552734
"-0.0008171335942382518, -0.0010062083135502107, -0.0011777923854192065",0.0003086471897527643
"-0.0013250444092690753, -0.0014591008520419254, -0.0015610128709890574",0.0002941932547393389
"-0.001648244225616333, -0.0017069300265910798, -0.001746227168835721",0.00010286712647944452
"-0.0017618442569301588, -0.0017599538913836085, -0.0017305513410313285",0.00010286712647944452
"-0.0016875975634517981, -0.0016183154108585021, -0.0015361228186099984",0.0002737568637457555
"-0.001438378552526386, -0.0013283086955154268, -0.001211233769908877",0.00014308039972787956
"-0.0010819248525543567, -0.0009481907777218, -0.0008047258575184391",0.0004716972568615807
"-0.0006698840368434562, -0.0005273890596299499, -0.00038348602878441294",0.00024722657475795273
"-0.00025197652730606004, -0.00011906989559177118, -5.152460890039262e-06",0.0002070292349722891
"0.00011127606469489635, 0.00021259780171844784, 0.0003049352685119307",0.0002941932547393389
"0.0003796767883169818, 0.0004469504203227781, 0.0005020800625494676",0.00014662272134779997
"0.0005489751881566553, 0.0005715593459172177, 0.0005903720958823902",0.00010286712647944452
"0.0005979991858601848, 0.0006006082048817868, 0.0005775285347280508",0.00011757618693253313
"0.0005541061428611244, 0.0005266014595867452, 0.0004965152458499432",0.00020574952149243764
"0.0004555000903765415, 0.00040855973931927525, 0.00036001534381467637",0.0002446966098671455
"0.00031316283952802573, 0.00026536819959741345, 0.00022427905602738843",0.00010286712647944452
"0.00017440252608540673, 0.00013213284215870136, 9.154908887177172e-05",0.00044101910122429366
"5.5358568854316226e-05, 2.479074636723604e-05, -1.0927317624119266e-05",0.00025242030075356414
"-3.54793549172598e-05, -5.814193841604978e-05, -8.94573169305593e-05",0.0003086471897527643
"-0.00011161864854310546, -0.00013744006552743153, -0.00016614042795669824",0.00011464211887735054
"-0.00019017761475609188, -0.00022217935627556144, -0.00025472724361942124",0.0003086471897527643
"-0.0002941051792082622, -0.00033431271708808663, -0.0003779476336976048",0.0002954219973420047
"-0.0004327030688971237, -0.0004905510308375388, -0.000548858912584483",0.00010286712647944452
