time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-01-11 20:10:52.380000+00:00,38.836,-122.77666,1.56,0.89,d,13,126.0,1.0,0.06,NC,71508605,2011-01-11T20:12:26.000Z,"Cobb, CA",eq,0.32,0.42,0.01,13,A,NC,NC
2011-01-11 20:45:54.880000+00:00,38.8235,-122.75833,0.098,1.04,d,34,47.0,1.0,0.08,NC,71508615,2011-01-14T00:45:17.000Z,"Cobb, CA",eq,0.15,0.21,0.1,9,F,NC,NC
2011-01-11 20:46:15.610000+00:00,38.82283,-122.7595,-0.812,1.35,d,37,47.0,2.0,0.06,NC,71508620,2011-01-13T02:34:40.000Z,"Cobb, CA",eq,0.1,0.25,0.17,11,F,NC,NC
2011-01-11 21:24:38.820000+00:00,38.848,-122.7815,2.427,0.73,d,5,194.0,2.0,0.01,NC,71508635,2011-01-11T21:26:12.000Z,"Cobb, CA",eq,1.16,0.87,0.16,7,A,NC,NC
2011-01-12 02:23:38.720000+00:00,38.84467,-122.82616,0.317,0.7,d,6,90.0,1.0,0.01,NC,71508735,2011-01-12T02:25:13.000Z,"Cobb, CA",eq,0.35,0.97,0.1,6,A,NC,NC
2011-01-12 05:48:33.880000+00:00,38.84383,-122.82933,0.731,0.43,d,4,125.0,1.0,0.0,NC,71508795,2011-01-12T05:50:08.000Z,"Cobb, CA",eq,0.59,0.95,0.15,7,A,NC,NC
2011-01-12 07:29:18.560000+00:00,38.817,-122.778,0.347,1.78,d,42,49.0,0.0,0.07,NC,71508815,2011-01-13T02:39:48.000Z,"Cobb, CA",eq,0.11,0.19,0.25,20,F,NC,NC
2011-01-12 07:32:25.880000+00:00,38.84167,-122.82767,0.688,0.45,d,5,121.0,2.0,0.05,NC,71508825,2011-01-12T07:33:58.000Z,"Cobb, CA",eq,0.43,1.58,0.14,7,A,NC,NC
2011-01-12 08:14:34.610000+00:00,38.8265,-122.785,0.984,0.54,d,6,81.0,1.0,0.04,NC,71508845,2011-01-12T08:16:08.000Z,"Cobb, CA",eq,0.47,2.02,0.03,8,A,NC,NC
2011-01-12 12:14:52.790000+00:00,38.83633,-122.80883,1.409,0.43,d,9,91.0,1.0,0.04,NC,71508990,2011-01-12T12:16:25.000Z,"Cobb, CA",eq,0.32,0.84,0.14,9,A,NC,NC
2011-01-12 21:36:19.180000+00:00,38.84533,-122.82567,1.599,1.04,d,44,47.0,1.0,0.05,NC,71509195,2011-01-12T23:42:04.000Z,"Cobb, CA",eq,0.12,0.24,0.07,13,F,NC,NC
2011-01-13 07:35:50.130000+00:00,38.82717,-122.78333,0.75,0.45,d,6,89.0,2.0,0.01,NC,71509435,2011-01-13T07:37:26.000Z,"Cobb, CA",eq,0.51,1.17,0.06,7,A,NC,NC
