shapelet,ig
"0.5, 0.73, 0.51",0.0002876511710362406
"0.56, 0.43, 0.43",0.00031687901112986694
"0.43, 0.99, 0.43",0.0007997703810683765
"0.43, 0.43, 0.56",0.0002376456759931589
"0.43, 0.83, 0.28",0.0004948513187654768
"0.45, 0.66, 0.42",0.0004889273955864804
"0.37, 0.29, 0.51",0.00021267765924237736
"0.4, 0.53, 0.43",0.0006380816947627599
"0.38, 0.89, 0.28",0.0006112636437720642
"0.55, 0.91, 0.37",0.0004942978433640777
"0.43, 0.55, 0.51",0.0004752894673585306
"0.56, 0.69, 0.44",0.0003850061800765303
"0.29, 0.43, 0.86",0.00021277402748121066
"0.08, 0.58, 0.97",0.00027081910795467845
"0.88, 0.55, 0.07",0.0001900455625986064
"0.5, 0.41, 0.73",0.0002601017522907423
"0.43, 0.71, 0.35",0.0005872473539705325
"0.51, 0.88, 0.99",0.0002376456759931589
"0.88, 0.53, 0.88",0.0003525164014673843
"0.51, 0.43, 0.9",0.0002879459437826748
"0.45, 0.73, 0.93",0.0004956339144234212
"0.89, 0.43, 0.43",0.0007924693256690096
"0.68, 0.37, 0.76",0.0003657401843737418
"0.51, 0.54, 0.88",0.00022320234284334273
"0.43, 0.69, 0.43",0.0007026444958965206
"0.28, 0.89, 0.53",0.0006628138793406402
"0.55, 0.88, 0.85",0.0003961214047573103
"0.56, 0.69, 0.56",0.00021941601546837664
"0.93, 0.52, 0.5",0.0003714249313958584
"0.89, 0.88, 0.88",0.00031687901112986694
"0.88, 0.73, 0.43",0.00016872525913413927
"0.39, 0.88, 0.43",0.000677302494112908
"0.53, 0.43, 0.48",0.00011951922511244106
"0.88, 0.43, 0.8",0.000389539347661505
"0.54, 0.91, 0.68",0.0004994351449256751
"0.55, 0.49, 0.43",0.00025340032768728094
"0.88, 0.57, 0.89",0.0005546333761006217
"0.68, 0.75, 0.47",0.00026773308785477123
"0.89, 0.28, 0.76",0.00037855706321388016
"0.28, 0.28, 0.5",0.00031687901112986694
"0.43, 0.69, 0.55",0.00028491263801122546
"0.53, 0.88, 0.33",0.00047977609044191905
"0.88, 0.0, 0.63",0.0005236978264523406
"0.96, 0.61, 0.28",0.0005939947942772417
"0.89, 0.48, 0.43",0.00038172437342809395
"0.66, 0.97, 0.28",0.0004024351378605351
"0.51, 0.43, 0.88",0.0002498320832570178
"0.97, 0.98, 0.64",0.0002376456759931589
"0.84, 0.88, 0.88",0.00017274614577544867
"0.88, 0.46, 0.88",0.0003961214047573103
"0.51, 0.28, 0.9",0.0002778093862122466
"0.92, 0.88, 0.76",0.0003961214047573103
"0.89, 0.38, 0.43",0.0003917516638517471
"0.43, 0.43, 0.43",0.0001619450874038586
"0.37, 0.43, 0.43",0.0004127346125147868
"0.56, 0.07, 0.55",0.00033511492363702544
"0.97, 0.51, 0.88",0.00038806110877909195
"0.81, 0.43, 0.89",0.00035705139250230555
"0.47, 0.39, 0.68",0.00018567803346547507
"0.57, 0.54, 0.43",0.00028828013618809045
"0.52, 0.45, 0.58",0.00029888711185643846
"0.36, 0.81, 0.18",0.0005182772841257899
"0.93, 0.88, 0.88",0.0001677423359998098
"0.43, 0.69, 0.55",0.00028491263801122546
"0.43, 0.55, 0.78",0.00020284889430444153
"0.57, 0.56, 0.43",0.0002376456759931589
"0.72, 0.52, 0.55",0.00022848021402632757
"0.43, 0.43, 0.28",0.0003949810946957122
"0.86, 0.56, 0.18",0.0003403258935975595
"0.43, 0.19, 0.45",0.00023349466522293305
"0.43, 0.43, 0.89",0.00035430670424285715
"0.57, 0.43, 0.64",0.0002894737411450743
"0.57, 0.93, 0.51",0.0005842075784594503
"0.58, 0.43, 0.19",0.000498367051756099
"0.87, 0.91, 0.89",0.00022649450657885595
"0.51, 0.51, 0.99",0.00033499080622056976
"0.28, 0.51, 0.55",0.00024341112278492005
"0.42, 0.88, 0.97",0.0006339029581267086
"0.6, 0.96, 0.0",0.0004154593895341341
"0.81, 0.47, 0.18",0.00027861863728573244
"0.85, 0.89, 0.46",0.0002376456759931589
"0.28, 0.73, 0.68",0.00040246467487214943
"0.88, 0.43, 0.51",0.0002229203666277435
"0.28, 0.53, 0.92",0.00039225914177998256
"0.55, 0.52, 0.88",0.00033291548085645495
"0.88, 0.88, 0.57",0.00022740808366794596
"0.55, 0.07, 0.28",0.00014308257206363528
"0.55, 0.45, 0.29",0.0005167106714397685
"0.39, 0.43, 0.45",0.0003896554628987081
"0.98, 0.37, 0.88",0.0003282088612800438
"0.89, 0.47, 0.81",0.000511029931383411
"0.89, 0.5, 0.52",0.0002292212974572827
"0.5, 0.5, 0.0",0.0005217348411770129
"0.43, 0.6, 0.28",0.000447742626722758
"0.51, 0.85, 0.49",0.0003482395230324231
"0.47, 0.47, 0.43",0.0006339029581267086
"0.43, 0.43, 0.87",0.00024343305968876905
"0.88, 0.39, 0.46",0.0001949760951831525
"0.83, 0.56, 0.91",0.00035072727515528257
"0.52, 0.51, 0.37",0.00042085406343850273
"0.88, 0.57, 0.72",0.0003077167500913358
"0.56, 0.88, 0.2",0.0005080505187633477
"0.36, 0.5, 0.86",0.00035288346511730406
"0.86, 0.43, 0.88",0.00039798890419506794
"0.78, 0.43, 0.38",0.00017470526313534407
"0.28, 0.54, 0.43",0.0004823272740062112
"0.48, 0.9, 0.54",0.0004743260172509478
"0.63, 0.19, 0.88",0.0005735915059238428
"0.89, 0.87, 0.52",0.0002376456759931589
"0.69, 0.86, 0.95",0.0005586832403814412
"0.98, 0.28, 0.53",0.0002945179858738767
"0.56, 0.38, 0.5",0.00013190619658087765
"0.89, 0.54, 0.28",0.0005633253839646413
